mistreat хозяйка
position положение
populous густонаселенный
pleonasm плеоназм
greats последний
instancy настоятельность
researchist посадить
toils сеть
caricaturist карикатурист
qmc личный
abundance изобилие
phoney акустический
subvention субсидия
electron-volt электрон-вольт
divan тахта
conciliator миротворец
sooth истина
persevering упорный
sooty покрытый
bengalee бенгалец
speciality специальность
deism деизм
guinea-pig морская
lighterman матрос
bottle-feed искусственно
chunking лязг
deist деист
inedibility несъедобность
mysticism мистицизм
rhomboid ромбоид
trachyte трахит
agitate агитировать
experienced опытный
have-on обман
dihedral двугранный
execution выполнение
finely-fibred тонковолокнистый
brochure брошюра
downside нижняя
iceblink отблеск
ingratiatingly заискивающе
acropolis акрополь
prospector разведчик
ragweed амброзия
renter съемщик
splasher грязевой
bevel скос
hedonistic гедонистический
underlie лежать
highbinder политический
weirdie чудак
complicate запутать
privy частный
clavichord клавикорды
simplify упрощать
self-contained автономный
measles корь
coming приезд
giddy испытывающий
slather большое
autogenous автогенный
nomenclature номенклатура
cordless беспроволочный
conveyance перевозка
starred усеянный
thumping громадный
vagabondage бродяжничество
doomsday день
trample топтание
iterance повторяющийся
negligible незначительный
chastisement дисциплинарное
proton протон
solidity твердость
natter ворчать
dissatisfied неудовлетворенный
husbandry сельское
checkroom гардероб
sebastian себастиан
undertaker владелец
enthusiastic восторженный
lubricity смазывающая
threshing-floor ток
cognomen фамилия
funeral похороны
except исключать
fireman пожарный
dress-preserver подмышник
duetto тесто
lovey-dovey влюбленный
cyclotron циклотрон
bisection деление
insulin инсулин
superiority старшинство
vice-president вице-президент
comics комиксы
exceptionable небезупречный
kauri каури
illinois иллинойс
beltane кельтский
global мировой
communard коммунар
prairie-chicken луговой
prevenance услужливость
circumvolution вращение
outline очертание
superscription надпись
breathalyser аппарат
nominal номинальный
shut-in лежачий
proud-stomached надменный
excess избыток
polyhedral многогранный
horse-collar хомут
helminth глист
operating операционный
capitation исчисление
datura дурман
polyzonal многозональный
simplism упрощенчество
invade вторгаться
light-weight человек
restrictive ограничительный
democracy демократия
sacrilege святотатство
undermanned имеющий
dandyism дендизм
dedicator тот
iberian иберийский
operation действие
asdic комитет
philtre любовный
rector ректор
announcer объявляющий
spade-work кропотливая
cadge попрошайничать
ill-omened предвещающий
parkland парковые
runner-up участник
radnor раднор
hydrophobia водобоязнь
saurian относящийся
budge шевелиться
subliminal подсознательный
battle-fleet линейный
jean джин
drawing-board чертежная
ethnography этнография
nut-oil ореховое
mutton баранина
lyceum лицей
admirable замечательный
durability прочность
salesgirl продавщица
shoe-nail сапожный
assassinator нападение
squab неоперившийся
cross-examine подвергать
squad группа
vulnerary целительный
youthful юный
dullish туповатый
qty количество
stirrup-cup прощальный
downsize уменьшать
engraving гравирование
que квебек
shangri-la райский
rough грубый
squat сидение
snow-bound заснеженный
brougham одноконная
assistance помощь
rouge румяна
septuagenarian семидесятилетний
readjustment переделка
molybdenite молибденовый
charleston чарльстон
unreserved откровенный
metering измерение
earth-light земляной
festschrift сборник
sovietologist советолог
ring-dove вяхирь
devisor лишать
wonder сомневаюсь
tectonics тектоника
counterblow встречный
klystron клистрон
guiltless невинный
last-ditch отчаянный
uncoined нечеканный
husbandly супружеский
sound-track звуковая
akin сродни
bull-calf бычок
periwig парик
theodolite теодолит
stockpile запас
chequered клетчатый
abdominous толстый
price-boom высокий
cilice ткань
mosquito москит
co-opt кооптировать
tennis-court теннисный
unemotional неэмоциональный
indiana индиана
employ служба
surcharge добавочная
jeez здорово
bevvy небольшое
masked переодетый
pottle сосуд
jeff джефф
aquavitae водка
taphouse тапиока
balcony балкон
blowzy толстый
prick укол
antigua антигуа
masker мазохизм
deregulation прекращение
hellas эллада
price цена
jeep джип
defensive оборона
profiteer спекулянт
jeer презрительная
typhoon тайфун
pincers тж
indo-chinese индокитайский
petuntse китайский
stapler сшиватель
cherish лелеять
resilient упругий
outlive пережить
visiting-day приемный
self-possessed имеющий
imagination воображение
propound предлагать
burnouse жженый
dancer танцор
pekinese пекинский
pride гордость
aetiology этиология
prolong продлевать
coming-in ввоз
rectum прямая
inhuman бесчеловечный
antiquated устарелый
rearward тыл
myope близорукий
espousal участие
obstructionism обструкционизм
thumb большой
dramatics драматическое
protector защитник
obstructionist обструкционист
plank-bed нары
stockroom склад
bountiful щедрость
cadet курсант
galipot застывшая
bill-discounter дисконтер
scatter разбрасывать
buddy дружище
hatchery инкубаторная
unmoral безнравственный
caecum слепая
fire-irons каминный
agency агентство
railroad железная
multitude множество
curmudgeonly грубый
sweetness сладость
nobleness благородство
agenda повестка
bodega винный
unreserve откровенность
oolitic оолитовый
well-established хорошо
counting-room несчетный
thump тяжелый
over-simplify упрощать
caddy мальчик
coquet кокетничать
disbud обрезать
sarcoma саркома
astronomical астрономические
hypophyses гипофиз
iconic портретный
sirrah эй
pre-election предварительные
tobias тобайас
outpouring излияние
sixthly в-шестых
minority меньшинство
mauritian мавританский
puddingy похожий
heller геллер
minorite минорит
bugaboo пугало
errancy заблуждение
trivialize опошлять
unerring безошибочный
agronomist агроном
biceps бицепс
baguette длинный
charge-sheet список
healer исцелитель
squadron эскадрон
dentate зубчатый
wisecracking саркастический
out-of-town находящийся
vicarage должность
jocko шимпанзе
disciple ученик
autocratic самодержавный
arbiter арбитр
co-author соавтор
confabulation болтовня
soup-plate глубокая
engorge жадно
hemistich полустишие
macedonian македонский
jehu возница
dastardly трусливый
demission сложение
self-restraint воздержание
squid кальмар
anapaest анапест
cyprian кипрский
subservience подхалимство
ash-key крылатка
corticate покрытый
initiatory начальный
overfill переполнять
friendliness дружелюбие
diptych диптих
interact взаимодействовать
wing-footed быстроногий
jell выкрис-
occas нерегулярно
brioche бриошь
cockatoo какаду
complicacy усложнять
fibster лгунишка
empowerment доверенность
holding участок
lasagne лазанья
heart-broken убитый
residentiary относящийся
typhous сыпно
nominee кандидат
procure доставать
maine мэн
pecan орех
monetary монетный
printing-press печатная
blockhead болван
nevada невада
cliff-hanger увлекательный
sumpter-horse вьючная
thuja туя
bacchanalia вакханалия
rood-loft хоры
over-active сверхактивный
blooming цветущий
heliocentric гелиоцентрический
performance исполнение
round круглый
much- much-
persiflage подшучивание
newly-wed новобрачный
well-to-do состоятельный
paternal отцовский
gingerly осторожный
horseless безлошадный
deterge очищать
unrest беспокойство
kangaroo кенгуру
tolly свеча
ephemeral эфемерный
beach-master комендант
anchylosis анкилоз
curtsy соблазнительный
icepick пестик
negotiant негоциант
building здание
geological геологический
wimpish бесхарактерный
locksmith слесарь
nationalist националист
hydrophone гидрофон
rad радио
corinthian коринфский
flemish фламандский
nationalism национализм
rag тряпка
execrable отвратительный
terrain местность
ram баран
culpable заслуживающий
rap легкий
underpass проезд
internally внутренне
scaffolding леса
handwork ручная
rat крыса
deep-rooted глубоко
trashy дрянной
withered иссохший
grass-plot лужайка
eau-de-vie коньяк
raw сырой
shaving бритье
submissive покорный
adaptability приспособляемость
ray рей
annunciator сигнализатор
puddly грязный
wine-vault бурдюк
gainsay противоречить
exam экзамен
hurried торопливый
chuck-hole выбоина
lanolin ланолин
climb-down спуск
manna-croup манная
arbalester арбалетчик
institute институт
crop-eared корноухий
encamp располагать
absoluteness безусловность
keelhaul килевать
ketchup кетчуп
demi- demi-
buccinator щечный
convergent сходящийся
filbert лещина
tail-plane хвостовой
diner-out человек
indiscernible неразличимый
extraditable подлежащий
rca ар-си-эй
rolling бортовая
begrudge завидовать
nightly ночной
aspect внешний
dexterous ловкий
scrubber газопромыватель
standfast прочное
re- re-
gregorian григорианский
telephotography телефотография
midterm экзамены
parsnip пастернак
well-defined четкий
unarguable бесспорный
baneful гибельный
nailing превосходный
expansibility растяжимость
suchlike подобный
grapery оранжерея
gold-fever золотая
minikin маленькая
ankle-joint голеностопный
plague-spot чумное
rda дистанционный
jesuit иезуит
barnstormer посредственный
pentecost пятидесятница
rdf радиопеленгаци
calling призвание
miriness болотистость
cistern цистерна
prithee прошу
collateral побочный
disarrange расстраивать
labialization лабиализация
magniloquence высокопарность
hunting-season охотничий
jerk резкое
mufti муфтий
lily-livered трусливый
ridable пригодный
demise передача
vigogne вигонь
dreamily мечтательно
exes расходы
rea ведомство
red красная
overjump перепрыгивать
rec расписка
predeterminer предетерминатор
ref рефери
helper помощник
unguent мазь
frieze бобрик
off-hour внеурочный
reg редж
collaborationist коллаборационист
rel выпущенный
houmous перегной
rem быстрый
binder переплетчик
interferometer интерферометр
rep репертуарный
clipper тот
curl-paper папильотка
full-blooded чистокровный
ret находящийся
utensil посуда
liquidate выплатить
res резервный
colour-box ящик
columned обозреватель
rev оборот
zenith-distance угловое
commendable похвальный
unpopular непопулярный
deliquescence свойство
luxuriously роскошно
expurgation вычеркивание
notary нотариус
mutual обоюдный
rfi радиопомехи
merovingian относящийся
therefore поэтому
outvoter избиратель
panther пантера
excrescent ненормально
rationalization рационализация
rfp заявка
tea-fight кафе
fluor-spar плавиковый
nourishment питание
rifle винтовка
hosier торговец
puddle лужа
brevet патент
nightie вечернее
crypt крипта
flexile сгиб
slouch неуклюжая
inconsequence непоследовательность
autographic собственноручно
craw зоб
warehousing хранение
rgb красный
tyrrhenian этрусский
beehive улей
scarecrow пугало
campaigner участник
columnar колоннообразный
laser лазер
sorry огорченный
light-headed бездумный
bacillus бацилла
rgp растровый
self-pollination самоопыление
expatriate эмигрант
periphery периферия
rgt полк
bedchamber спальня
half-dozen полдюжины
cuff-link запонка
policy-shop игорный
benefice бенефиция
chess-board шахматная
chorister хорист
apartness обособленность
judicious здравомыслящий
light-tight светонепроницаемый
fetlock щетка
jess джесс
jest шутка
crap гречиха
clove-gillyflower гвоздичное
hem-stitch ажурная
modify видоизменять
cram давка
mortify подавлять
feminism феминизм
crag скала
exempt освобожденный
setting-up сборка
rhs правая
fleming фламандец
crab дикое
albeit хотя
caries кариес
feminist феминист
escritoire секретер
medallion медальон
violoncellist гадюка
inductance индуктивность
aconite аконит
braird первый
hatchet-face продолговатое
caption заголовок
grace-cup заздравный
rib ребро
faulty несовершенный
knighthood рыцарство
reincarnate перевоплощать
rid освобождать
rif сокращение
rig оснастка
rim ободок
sand-bed песчаное
rip разрыв
rio р
yrbk ежегодник
somersault прыжок
single-gauge однопутный
jocosity шутливость
riv река
algorithm алгоритм
slobber слюни
telepathy телепатия
chantry вклад
economizer экономайзер
inlander житель
pennyroyal мята
embroider вышивать
outlier человек
uneconomical неэкономичный
water-anchor плавучий
shrubbery кустарник
exit выход
indite сочинять
berwick берик
curacao ликер
mailbox почтовый
pillow-slip мягкий
system система
tarragon полынь
non-manual служащие
reactionary противодействующий
mullock отбросы
tombola вид
slough болото
after-care уход
sophistication изощренность
meridional меридиональный
doubling удвоение
mortice владелец
malformed уродливый
educator воспитатель
crew судовая
decorum внешнее
aerodrome аэродром
vaporization испарение
imaginable вообразимый
haemophilia гемофилия
vacation оставление
terrace терраса
regimentation сведение
sell-by крайний
unrein отпустить
unsolicited предоставленный
outcome результат
pastorship пастрами
craving страстное
pacificator миротворец
sun-blind тент
braise тушеное
double-lock запереть
historian историк
inaccuracy неточность
analogue аналог
lieigeman вассал
neighbourship соседство
sealing-wax сургуч
recollect вспоминать
slantingdicular косой
meditation размышление
rifleman стрелок
lallan диалект
amoeba амеба
demagogy демагогия
royal королевская
rly железная
prosaic прозаический
lumen люмен
untrained необученный
tsarist царский
unpremeditated непреднамеренный
dicotyledon двудольное
bloomers женские
sword-law право
sand-bag мешок
amongst аморальный
brains мозговой
polyester полиэфир
inheritable наследственный
infra-red инфракрасный
thames р
rms королевская
usurer ростовщик
albm авиационная
bitterish горьковатый
closure закрытие
respectability почтенность
rna рибонуклеиновая
carotene сонная
adhere прилипать
magisterial судебный
massicot массикот
dioptre диоптрия
gimbals карданов
rumour слух
alas увы
alar крыловидный
dittany ясенец
creditworthy кредитоспособный
wrecker мародер
alan алан
rnr военно-морской
mender тот
mistranslation неправильный
territorial земельный
wrecked потерпевший
cathode катод
grease-paint грим
gazebo вышка
sweatpants брюки
jumping дергающаяся
rob роб
right-lined образованный
rod прут
roc птица
feminize делать
roe косуля
encash реализовать
accession прирост
disrate понижать
rog квитанция
tinman жестян
buoyancy плавучесть
blacking-out вымарывание
encase упаковывать
rom постоянное
brush-work манера
intermarry породниться
vicennial двадцатилетний
rot гниение
ros роскоммон
warty покрытый
exps расходы
unreel разматывать
flaccid слабый
rox роксброшир
row ряд
dowsing-rod доктрина
batsman отбивающий
distension растяжение
roy рой
carbide карбид
blossom цвет
self-denial самоотречение
mortimer мортимер
sand-bar наносный
crib ясли
horse-coper торговец
indium индий
stagehand рабочий
unnecessary ненужный
brainy мозговитый
girandole жирандоль
omelet омлет
rpm столько-то
mail-car почтовый
rpo железнодорожное
caring заботливый
filth грязь
rps столько-то
reliant уверенный
saddle-blanket потник
deep-felt глубоко
respirator респиратор
rpv дистанционно-управляемый
fly-on-the-wall документальный
circumfluous омываемый
desideratum что-л
kilter порядок
blather пламя
tagger водящий
dressmaking шитье
legend легенда
meditative созерцательный
paraphrase пересказ
synchronous синхронный
orris касатик
nativity рождение
enrichment обогащение
altar престол
probationary испытательный
tagged снабженный
trifocal трифокальный
master-key отмычка
altai алтай
demur колебание
poverty бедность
damnably отвратительно
bow-tie галстук-бабочка
musquash ондатра
officiate исполнять
table-rapping стук
alec алек
alee под
sampling отбор
necroscopy омертветь
shabby протертый
walkway дорожка
half-heartedly нерешительно
juniper можжевельник
pustulous класть
mass-produce производить
rumple мять
thinning прореживание
sharp-shooter меткий
alizarin ализарин
deed-poll одностороннее
grade градус
pancreatic относящийся
aqueous водяной
corruption порча
ecafe экономическая
bhang бутан
mutilate увечить
plaguesome неприятный
patricia патриция
astral звездный
adynamia слабость
inspiring вдохновительный
rsm королевское
uncurtained незанавешенный
interminable бесконечный
boodle толпа
foretime старые
discus диск
shyster стряпчий
draw-tongs клещи
rsv исправленное
damnable заслуживающий
diopter диоптрия
starting-gate передвижной
grace грейс
officiary связанный
captive взятый
soapboxer уличный
where откуда
yenisei р
malic яблочная
stitch стежок
friendless одинокий
rte путь
enviable завидный
etherization применение
rtf расширенный
vociferate кричать
walk-out забастовка
alga морская
empower уполномочивать
crater кратер
alkalescent слабощелочной
pier-glass трюмо
aerolite аэролит
practician практик
bifoliate двулистный
toehold опора
sorgo сорит
modish модный
power-boat моторный
astray заблудившись
consensual согласованный
subjugation покорение
cut-away визитка
rub трение
misalliance человеконенавистник
professorship профессорство
shrubby поросший
rue сострадание
habile искусный
rug ковер
whelp щенок
hieroglyph иероглиф
towering высокий
whelm заливать
thumb-mark след
run бег
enact предписывать
rum ром
eradiate излучать
kohlrabi кольраби
whelk прыщ
crampon железный
rut колея
senescence старение
unassisted без
parasiticide средство
pelagian пелагический
cross-armed скрестив
door-plate табличка
defiance вызов
gas-tank резервуар
infelicitous несчастливый
upkeep содержание
shitless очень
dupeable легко
bomb-sight прицел
agitation агитация
tentacle щупальце
practicality практичность
potato-trap картофель
turbo-jet турбореактивный
instability неустойчивость
crow ворона
blower тот
crop урожай
shavian последователь
crunch хруст
complaisance услужливость
jinnee джин
mercenary корыстный
myrrh мирра
novelty новизна
dwelling-house жилой
steeplejack верхолаз
pennyweight пеннивейт
leatherette искусственная
strapontin приставной
saddle-pin опорная
symmetric симметричный
dander раздражение
rorqual кит
alma альмэ
post-natal происходящий
ally союзник
enisle превращать
rwy железная
self-employed обслуживающий
tympanitis воспаление
whene когда
officiant священник
gear-box коробка
rollick шумное
screenwriter сценарист
racecourse беговая
demonstrable доказуемый
introduce вводить
situate помещать
bezel скошенное
bracelet браслет
valentine валентин
saturated глубокий
weatherwear защитная
wearproof износостойкий
discourse рассуждение
savior спаситель
target цель
foundling подкидыш
obstruct заграждать
alky щелочность
dressing-gown халат
restricted узкий
grippe грипп
underpin подпирать
rye рожь
globule шарик
cerebration мозговая
drawstring шнурок
right-hand правый
velarium навес
boanerges крикливый
curricle парный
asymmetry асимметрия
collected собранный
blackcap славка-черноголовка
upturned направленный
amnesty амнистия
carbine карабин
dumbartonshire думбартоншир
siphon сифон
larva личинка
needments все
aubrey обри
elevate поднимать
clinch зажим
generation поколение
cleave раскалывать
obelus тучный
well-becoming подходящий
carmine кармин
curbstone свернувшееся
crtc ка-
saving спасительный
serialize издавать
miraculous чудотворный
failing недостаток
buttocks ягодицы
matched подобранный
penny-a-liner наемный
spunky мужественный
vilification поношение
jungle джунгли
alms милостыня
enthral порабощать
circumaviate летать
belladonna красавка
demos демос
alps альпы
feminine женский
folding-bed походная
bench-mark отметка
goldilocks лютик
prepuce крайняя
apatite апатит
asgmt назначение
fulminatory гремящий
fixedness неподвижность
haversack сумка
adulterous виновный
broiler бройлер
jungly покрытый
smalltown провинциальный
homosexual гомосексуалист
cannibalistic каннибальский
demon демон
kayak каяк
scooter детский
gee-up дегенерат
senility старость
workaway человек
origanum душица
inaccurate неточный
demob демобилизованный
pot-hook крюк
underpaid низкооплачиваемый
disorder беспорядок
encage сажать
expansible растяжимый
tribunicial трибунский
bugle охотничий
reluctantly неохотно
what-not этажерка
tape-measure сантиметр
mortise паз
camp-stool кампания
crux затруднение
transistor транзистор
chanty хоровая
plaque металлический
dandle качать
fish-tackle рыболовные
demit уходить
sibylline пророческий
stithy кузница
subplot побочная
pyrites серый
plate-mark пробирное
underpay оплачивать
kiltie шотландский
weirdo человек
gospeller евангелист
love-match брак
condolatory сочувствующий
saxony тонкая
cagey уклончивый
weirdy приветствие
negotiate вести
bedsore пролежень
cratch кормушка
mammock глыба
monocotyledon односемядольное
nervy нервный
supposition предположение
non-productive непроизводящий
nielloed черненый
dovish миролюбивый
cadastre кадастр
toe-cap носок
delimit определять
multitudinous многочисленный
brainwash промывать
greenery зелень
epithet эпитет
novella новелла
purblind подслеповатый
nerve нерв
unscrupulous неразборчивый
diaper узорчатое
speedwell вероника
world-power мировая
dilutee малоквалифицированный
ascertain устанавливать
commoner человек
lighthouse маяк
brainwave плодотворная
eyas соколенок
polemic полемический
alto альт
pot-hole рытвина
proctor проктор
unblended чистый
generative производящий
clingy липкий
sac стратегическое
sab диверсант
reject признанный
sad печальный
sag прогиб
pretermission упущение
double-cross надуть
sequester уединять
sam ракета
astro- astro-
cryptogram криптограмма
sal сэл
sao сан-томе
san сан-марино
jetstone черный
molehill кротовина
sap сок
sar сирийская
assignment назначение
lyddite лиддит
sat суббота
malta мальта
rear-view зеркало
saw пословица
earnestly настоятельно
also тоже
cloudless безоблачный
jollity веселье
nationalize национализировать
say говорить
sax шиферный
chatterbox болтун
pug-nosed курносый
dandified щегольской
malty солодовый
educated высоко
sba ведомство
interchain сковывать
alta альберта
zoogeography зоогеография
needle-case игольник
rheumaticky ревматический
clinic клиника
buggy легкая
petrel буревестник
catnip катоптрический
embracery незаконное
extemporary неподготовленный
phonometer фонометр
variegation пестрая
leather-neck солдат
hubris спесь
exequatur экзекватура
hind-head затылок
kiss-curl локон
lambkin ягненочек
squint косоглазие
scd доктор
sci наука
adducent приводящий
sch школа
resistor резистор
submersion подчинение
pamphlet брошюра
suzerainty власть
pervertible поддающийся
treenail нагель
standee стоящий
adjourn отсрочивать
pollack сайда
guncrew орудийный
willy-willy тропический
tourney средневековый
hullabaloo крик
sweetener заменитель
alum квасцы
photofinish фотофиниш
delay отлагательство
filar филярный
sdi стратегическая
ye-do щекотливое
colour-wash клеевая
orthogenesis ортогенез
peristyle перистиль
neophyte неофит
rubricate разбивать
youngish моложавый
strong сильный
vantage преимущество
allegheny аллеганские
disconnexion разъединение
slovak словак
asyndetic бессоюзный
proven доказанный
gutter-man уличный
copyholder наследственный
gadder бродяга
sea море
pantile желобчатая
tobacco-pipe курительная
sec комиссия
containment сдерживание
bacteriology бактериология
see видеть
responsibility ответственность
sei институт
quickness быстрота
sem сканирующий
sel лаборатория
omission пропуск
sen сенат
crummy пухленькая
seq следующий
sep сентябрь
inconceivability непостижимость
categoric категориальный
ser сериал
set набор
sew шить
meritocratic способствующий
notecase бумажник
sex пол
turret башенка
tutti-frutti мороженое
overbuild надстраивать
shabby-genteel старающийся
sample образец
mannerliness вежливость
awesome устрашающий
sfc центр
pique задетое
galeeny цесарка
skein моток
tooled механически
muriate солянокислая
auspices доброе
motherland родина
vicinity соседство
saprogenous сапрогенный
defatted обезжиренный
hop-pocket мешок
consignation отправка
operand объект
plosion плозия
decametre декаметр
jobless безработный
visualization отчетливый
beauty красота
far-flung широко
panties детские
asyndeton асиндетон
stroll прогулка
distich двустишие
sgd подписано
wedlock супружество
chipmunk бурундук
useless бесполезный
pygm карликовый
resonant раздающийся
sgt сержант
christianize обращать
might-have-been упущенная
jodhpurs брюки
plosive взрывной
shf сверхвысокая
she она
liveliness живость
transfuse переливать
medicative лечебный
eyeball глазное
track-and-field легкая
lightship плавучий
long-haired длинноволосый
cursor стрелка
overblown пронесшийся
ballerina балерина
shy пугливый
forgive прощать
maryland мэриленд
aesthophysiology физиология
protuberant выпуклый
sloven неряха
pendant подвеска
sic так
collector сборщик
hebetate тупой
vintner виноторговец
emery-cloth наждачное
sim сим
supervision надзор
sin грех
sip маленький
tuyere фурма
larch лиственница
sir сэр
squill морской
cattle-feeder машина
sit сидеть
red-cap военный
glandule железка
six шесть
sanguinary кровавый
falter шататься
sjd доктор
clock-glass стеклянный
lardy жирный
stroke удар
novelet повесть
sphinx сфинкс
dairying молочное
fivefold пятикратный
walrus морж
representational предметно-изобразительный
stockyard скотопригонный
dichromatic двухцветный
lay-by придорожная
fresh свежий
retardation замедление
rasping опилки
pen-name литературный
advanced выдвинутый
dictograph диктограф
egomaniac эгоист
supervising наблюдающий
nodule узелок
photo-electricity фотоэлектричество
ski лыжа
life-saving спасательный
non-rigid мягкий
lares лары
roulette рулетка
frontwards мороз
imagery образы
beside рядом
plateful полная
sell-out распродажа
skt санскрит
sky небо
tiptoe кончики
hashish потроха
large большой
way-worn утомленный
expunge вычеркивать
compromiser примиренец
sla ассоциация
judas-hole багряник
quencher гаситель
foolish глупый
gibraltar гибралтар
edging обрезная
didactics дидактика
operate работать
plumule перышко
tiptop высшая
slp сверхдолгоиграющий
slo слайго
inculpate обвинять
manufactory фабрика
bougainvillaea бугенвиллия
paragraph абзац
sly хитрый
oilfield месторождение
crystal кристалл
damascene украшать
penalize караться
skittle-alley кегельбан
smc малое
bow-saw лучковая
neighbour сосед
self-praise самовосхваление
cock-and-bull неправдоподобная
place-card карточка
arboretum древесный
phalanx фаланга
old-gold цвета
y-axis ось
largo ларго
ceres церера
unbearable невыносимый
creator творец
impedimental препятствующий
salesmanship умение
spavin костный
stock-still неподвижно
speakeasy бар
aeroengine авиационный
change перемена
rumpus суматоха
porous пористый
systematic систематический
printable достойный
combustible горючий
kuril курильские
self-congratulatory поздравляющий
grape-cure лечение
irrevocable неотменяемый
polygon многоугольник
route-march походный
sash-frame небольшая
corporate корпоративный
snr старший
savings-bank сберегательная
chipmuck бурундук
frowzy затхлый
bombardment бомбардировка
antidazzle неослепляющий
producible могущий
squirm извиваться
cursed проклятый
imprecatory проклинающий
soc общество
manliness мужественность
sob рыдание
critter живое
carhop официант
ritualistic ритуальный
sod дерн
squire сквайр
fir-needle еловая
northern северная
tinner рабочий
som сомерсет
gullibility легковерие
sol сол
frowsy затхлый
proceeds доход
son сын
sop стандартный
sos спасите
tiger-eye медведица
sou су
squirt струя
sampan сампан
sot горький
adenoid связанный
sow сеять
limekiln печь
frowst спертый
soy соевый
novice начинающий
chancy рискованный
feisty храбрый
inequilateral неравносторонний
malax разминать
unthankful неблагодарный
open-plan имеющий
spa курорт
metronymic образованный
nautilus кораблик
army-list список
priced оцененный
mammoth мамонт
csis канадская
withering иссушающий
troop-horse кавалерийская
tinned запаянный
signatory сторона
malay малайский
spy шпион
behind сзади
notional умозрительный
strangury болезненное
steam-gauge манометр
toothing зубчатое
pricey дорогой
pikestaff посох
eyre выездная
pyre погребальный
drop-light электрическая
microsurgery микрохирургия
papoose ребенок
excusatory извинительный
monkey-chatter собачий
eldritch жуткий
murphy картофель
paralinguistics паралингвистика
larky любящий
alchemic алхимический
politely вежливо
singularity оригинальность
amercement наложение
highly очень
by-product побочный
dressing-room туалетная
missive официальное
popish папистский
unfortunate несчастный
chance случай
brahma брама
nature природа
peeve раздражение
wheel колесо
carcinogen канцероген
fin-back кит-полосатик
medication лечение
so-so неважный
squish хлюпать
sri шри-ланка
male- male-
offhand импровизированный
inadvertence невнимательность
clerk клерк
amex американский
hand-to-mouth бедный
inadvertency невнимательность
enrobe облачать
nipponese японский
pageantry пышное
quarrel ссора
amen аминь
oblate посвятивший
ssa администрация
tee-shirt кишеть
dancing танцы
emotive эмоциональный
cashmere кашемир
sse юго-юго-восток
inviolable нерушимый
delta дельта
tear-duct слезный
man-hour человеко-час
countrified имеющий
ponder обдумывать
stanniferous содержащий
sober-sides степенный
orderly-room канцелярия
scandal позорный
ssw юго-юго-запад
reputable почтенный
loricate снабженный
prussian прусский
intercut прерывать
horseleech конская
horsy конский
mushroom гриб
sta станция
house-flag флаг
std доктор
pillion заднее
australia австралия
interpreter интерпретатор
miscount просчет
stk наличный
pisciculturist рыбовод
horse лошадь
secondary вторичный
str пролив
mission миссия
remorseless безжалостный
re-cede возвращать
xylose ксилоза
enframe вставлять
sty свинарник
mercantile торговый
hereford херефорд
otophone отофон
sub пожертвование
sue сью
megohm мегом
unread непрочитанный
sui уникальный
delve впадина
sum сумма
folding-cot листва
comedienne комедийная
manganese марганец
phagocyte фагоцит
sun солнце
ungear выключать
wage-cut снижение
serving порция
sup глоток
gelding кастрированное
plumelet перышко
secretary секретарь
sizeable порядочного
baccara баккара
enclasp обхватывать
febrile лихорадочный
unreal ненастоящий
confessor духовник
preferred привилегированный
stoical стоицизм
svc обслуживание
maker тот
slipper комнатная
amid среди
threatened такой
convertibility обратимость
swimming-pool открытый
beloved возлюбленный
centurion центурион
confidante наперсница
paulina паулина
flared юбка-клеш
tergiversate быть
tickler затруднение
tail-feather хвостовое
pauline паулина
rowel колесико
pollard подстриженное
rower гребец
detriment ущерб
salt-pan чан
symbol символ
medallist медальер
pitch-dark очень
over-production перепроизводство
indolence леность
csrg группа
denationalize денационализировать
enclave территория
litotes литота
time-lag промежуток
burial похороны
requiem реквием
optophone оптофон
betroth обручить
filly молодая
missile реактивный
beaver бобр
passion страсть
anecdotal включающий
stunner изумительный
sitting-room общая
sequestered изолированный
perineum промежность
lightning-conductor молниеотвод
cryptograph шифровальщик
crumby усыпанный
excitability возбудимость
ocean океан
myopia близорукость
falangist фалангист
myopic близорукий
filmy пленчатый
horny роговой
semination обсеменение
officialdom чиновничество
alfred альфред
lay-up вывод
higher высший
unreadable неразборчивый
commonalty общины
hangdog висельник
laurelled увенчанный
logjam залом
cicerone проводник
prolongation продление
fraternal братский
vicinal местный
bribetaker взяточник
emulous соревнующийся
missing отсутствующий
fruit-grower садовод
hunting-horn охотничий
intercom внутренняя
jamboree веселье
scratch-race состязание
splurge выставление
ammo боеприпасы
piddling мелкий
idler лентяй
discernment умение
repertory склад
codeine кодеин
wood-pulp пульпа
rousing воодушевляющий
